102,7,"mccarthy, shawna",4
102,7,"scithers, george",5
102,8,"hardy, david",3
102,8,"lundgren, carl",2
102,8,"mattingly, david",4
102,8,"sweet, darrell",5
102,8,"whelan, michael",1
102,9,fantasy newsletter,4
102,9,locus,1
102,9,sf chronicle,3
102,9,sf review,2
102,10,boonfark,4
102,10,file 770,1
102,10,holier than thou,3
102,10,izzard,2
102,10,raffles,5
102,11,"carol, avedon",4
102,11,"hlavaty, arthur",3
102,11,"langford, dave",2
102,11,"nielsen-hayden, theresa",1
102,11,"west, d.",5
102,12,"fox, steve",3
102,12,"gilliland, alexis",2
102,12,"shiffman, stu",1
102,13,"goldstein, lisa",2
102,13,"macavoy, r. a.",1
104,1,cugel's saga,3
104,1,lyonesse,2
104,1,millennium,1
104,1,"neverending story, the",4
104,1,superluminal,5
104,6,android,2
104,6,"canticle for leibowitz, a",1
104,6,return of the jedi,3
104,6,wargames,4
104,10,file 770,1
104,11,"glyer, mike",1
104,11,"weinstein, elliot",2
111,8,"frazetta, frank",1
111,9,locus,1
111,9,sf chronicle,3
111,9,sf review,2
111,10,file 770,1
111,10,holier than thou,3
111,10,izzard,2
111,11,"glyer, mike",1
111,11,"langford, dave",2
111,11,"white, ted",3
111,12,"foster, brad",1
111,12,"gilliland, alexis",2
111,12,"rotsler, william",3
111,12,"warren, william",4
114,1,"anubis gates, the",4
114,1,"dragon waiting, the",2
114,1,"matter for men, a",5
114,1,orion shall rise,3
114,1,startide rising,1
114,2,cascade point,4
114,2,gilpin's space,2
114,2,her habiline husband,1
114,2,in the face of my enemy,5
114,2,seeking,3
114,3,belling martha,2
114,3,black air,1
114,3,blind shemmy,3
114,3,"sidon in the mirror, the",5
114,3,street meat,4
114,4,brothers,5
114,4,cryptic,2
114,4,"geometry of narrative, the",1
114,4,servant of the people,4
114,4,spook,3
114,5,"nesfa index, 1982, the",2
114,5,over my shoulder,3
114,5,worlds beyond: the art of chesley bonestell,1
114,6,british airways cities in flight commercial,2
114,6,"dead zone, the",4
114,6,return of the jedi,3
114,6,"right stuff, the",1
114,7,"baen, jim",5
114,7,"carr, terry",2
114,7,"ferman, ed",3
114,7,"grant, charles",4
114,7,"hartwell, david",1
114,8,"di fate, vincent",2
114,8,"hardy, david",3
114,8,"johnson, kevin",1
114,8,"kidd, thomas",4
114,8,"lundgren, carl",5
114,9,locus,1
114,9,sf chronicle,3
114,9,sf review,2
114,10,ansible,5
114,10,file 770,2
114,10,instant message,1
114,10,niekas,3
114,10,reality rag,4
114,11,"anderson, claire",2
114,11,"flynn, george",3
114,11,"glyer, mike",1
114,11,"langford, david",4
114,12,"eggleton, bob",5
114,12,"fox, steve",2
114,12,"gilliland, alexis",1
114,12,"hanke-woods, joan",4
114,12,"shiffman, stu",3
114,13,"macavoy, r. a.",1
128,1,"anubis gates, the",5
128,1,"dragon waiting, the",3
128,1,orion shall rise,4
128,1,startide rising,1
128,1,tea with the black dragon,2
128,2,her habiline husband,1
128,3,heritage of flight,1
128,4,cryptic,2
128,4,"geometry of narrative, the",1
128,5,"nesfa index, 1982, the",1
128,6,british airways cities in flight commercial,1
128,6,return of the jedi,2
128,7,"carr, terry",1
128,7,"hartwell, david",2
128,8,"di fate, vincent",1
128,9,locus,1
128,10,file 770,2
128,10,instant message,1
128,11,"anderson, claire",1
128,11,"glyer, mike",2
128,12,"fox, steve",1
128,13,"macavoy, r. a.",1
152,1,against infinity,1
152,1,midas world,4
152,1,"robots of dawn, the",2
152,1,superluminal,3
152,4,pine castle,1
152,6,brainstorm,1
152,7,"del rey, judy-lynn",1
152,8,"sweet, darrell",1
152,9,sf chronicle,1
152,10,file 770,1
152,11,"glyer, mike",1
156,3,hard times,1
156,6,v,1
156,8,"poyser, victoria",2
156,8,"whelan, michael",1
156,9,sf chronicle,1
156,10,file 770,1
161,1,broken symmetries,2
161,1,millennium,4
161,1,startide rising,1
161,1,"void captain's tale, the",3
161,1,welcome chaos,5
161,2,her habiline husband,2
161,2,hurricane claude,3
161,2,seeking,1
161,3,blood music,2
161,3,life on the tether,5
161,3,"lurking duck, the",4
161,3,"mind of medea, the",3
161,3,"monkey treatment, the",1
161,4,"power of the press, the",3
161,4,"silent cradle, the",5
161,4,speech sounds,1
161,4,spook,4
161,4,wong's lost and found emporium,2
161,5,"high kings, the",2
161,5,minus ten and counting,1
161,6,brainstorm,1
161,6,"dead zone, the",3
161,6,wargames,2
161,7,"carr, terry",2
161,7,"hartwell, david",1
161,7,"mavor, elinor",3
161,8,"maitz, don",1
161,8,"shaw, barclay",2
161,9,locus,1
161,9,sf review,2
161,10,"philk fee-nom-ee-non, the",1
161,13,"macavoy, r. a.",1
166,1,"40,000 in gehenna",1
166,1,mindkiller,2
166,6,"dead zone, the",1
166,6,return of the jedi,4
166,6,"right stuff, the",5
166,6,testament,2
166,6,wargames,3
166,7,"ferman, ed",1
166,8,"whelan, michael",1
166,9,locus,1
166,9,sf chronicle,2
166,9,sf review,3
166,12,"bender, jan",3
166,12,freff,2
166,12,"ortega, pat",1
166,13,"goldstein, lisa",1
167,2,seeking,1
167,3,"black current, the",4
167,3,"final report on the lifeline experiment, the",3
167,3,slow birds,1
167,3,"world of pez pavilion, the",2
167,4,"forbidden thought, the",1
167,4,"geometry of narrative, the",3
167,4,"peacemaker, the",4
167,4,spending a day at the lottery fair,2
167,4,what we did that night in the ruins,5
167,6,liquid sky,3
167,6,wargames,2
167,6,zelig,1
167,7,"ferman, ed",1
167,8,"lindahn, val lakey",1
167,11,"smith, nick",1
167,13,"frost, greg",2
167,13,"hoffman, nina kiriki",1
167,13,"wheeler, mark",3
184,6,brainstorm,2
184,6,return of the jedi,1
184,7,"scithers, george",1
184,10,file 770,1
184,11,"glyer, mike",2
184,11,"weinstein, elst",1
184,12,"rotsler, william",2
184,12,"schirmeister, marc",1
196,1,"tapestry of magics, a",1
196,1,tea with the black dragon,2
196,3,hard times,1
196,6,prototype,1
196,7,"scithers, george",1
196,8,"di fate, vincent",4
196,8,"hickman, stephen",3
196,8,"morrill, rowena",2
196,8,"sweet, darrell",1
196,9,sf chronicle,1
196,9,sf review,2
199,1,code of the lifemaker,3
199,1,"crucible of time, the",2
199,1,dragon on a pedestal,5
199,1,"robots of dawn, the",4
199,1,startide rising,1
199,3,hard times,1
199,6,brainstorm,3
199,6,return of the jedi,1
199,6,wargames,2
199,9,starlog,1
199,10,file 770,1
199,10,holier than thou,3
199,10,izzard,2
199,11,"glyer, mike",1
199,12,"shiffman, stu",2
199,12,"steffan, dan",1
199,13,"hambly, barbara",1
199,13,"macavoy, r. a.",2
204,1,"armageddon rag, the",2
204,1,christine,1
204,1,pet sematary,4
204,1,sung in shadow,3
204,5,"fantastic art of rowena, the",1
204,6,return of the jedi,1
204,7,"allison, susan",4
204,7,"baen, jim",1
204,7,"ferman, ed",2
204,7,"mccarthy, shawna",3
204,7,"wollheim, don",5
204,8,"johnson, kevin",2
204,8,"mattingly, david",4
204,8,"morrill, rowena",3
204,8,"poyser, victoria",1
204,8,"vallejo, boris",5
204,9,fantasy newsletter,4
204,9,locus,2
204,9,sf chronicle,1
204,9,sf review,3
204,10,file 770,1
204,10,holier than thou,2
204,10,westwind,3
204,11,"geis, dick",4
204,11,"glyer, mike",2
204,11,"langford, david",1
204,11,"porter, andrew",3
204,12,"dowling, lela",3
204,12,"foster, brad",2
204,12,"gilliland, alexis",1
204,12,"warren, william r.",4
205,5,"fantastic art of rowena, the",1
205,7,"baen, jim",1
205,7,"macdougal, harriet",3
205,7,"wollheim, don",2
205,8,"johnson, kevin",2
205,8,"morrill, rowena",3
205,8,"poyser, victoria",1
205,8,"shaw, barclay",5
205,8,"vallejo, boris",4
205,9,fantasy newsletter,1
205,9,locus,3
205,9,sf chronicle,2
207,1,"citadel of the autarch, the",3
207,1,orion shall rise,4
207,1,"robots of dawn, the",1
207,1,startide rising,2
207,6,democrats' response to the state of the union sp,2
207,6,return of the jedi,1
207,7,"carr, terry",3
207,7,"hartwell, david",1
207,7,"meecham, beth",2
207,7,"scithers, george",4
207,8,"di fate, vincent",1
207,8,"lundgren, carl",4
207,8,"shaw, barclay",3
207,8,"whelan, michael",2
207,9,locus,1
207,9,sf chronicle,2
207,9,starship,3
207,10,file 770,2
207,10,instant message,1
207,11,"anderson, claire",1
207,11,"glyer, mike",2
213,1,jonuta rising,2
213,1,"nagasaki vector, the",3
213,1,"rainbow cadenza, the",1
213,1,time of the dark,4
213,6,brainstorm,3
213,6,return of the jedi,2
213,6,"right stuff, the",1
213,7,"baen, jim",1
213,8,"morrill, rowena",2
213,8,"poyser, victoria",1
213,9,sf review,1
213,10,dillinger relic,1
213,11,"gunderloy, mike",2
213,11,"hlavaty, arthur",1
213,11,"konkin, samuel edward, iii",3
213,12,"gilliland, alexis",1
213,13,"hambly, barbara",2
213,13,"hawke, simon",3
213,13,"linaweaver, brad",1
216,1,"dreamstone, the",2
216,1,mindkiller,1
216,1,"neverending story, the",3
216,6,return of the jedi,1
216,13,"goldstein, lisa",1
225,1,"armageddon rag, the",1
225,1,"birth of the people's republic of antartica, the",5
225,1,broken symmetries,3
225,1,startide rising,2
225,1,welcome chaos,4
225,2,hardfought,2
225,2,her habiline husband,1
225,3,belling martha,3
225,3,carrion comfort,5
225,3,hard times,1
225,3,"lurking duck, the",2
225,3,"sidon in the mirror, the",4
225,4,her furry face,1
225,4,man-mountain gentian,2
225,4,"overly familiar, the",3
225,5,"dream makers, volume ii",1
225,5,"high kings, the",2
225,5,staying alive: a writer's guide,3
225,6,cujo,3
225,6,"dead zone, the",1
225,6,prairie sun,4
225,6,wargames,2
225,7,"datlow, ellen",1
225,7,"hartwell, david",3
225,7,"mccarthy, shawna",2
225,8,"shaw, barclay",1
